3244599;Конструктор LEGO Harry Potter Астрономическая башня Хогвартса 75969;9499 RUB;МСК, СПБ;6049 RUB;https://www.detmir.ru/product/index/id/3244599/
3596764;Конструктор LEGO Minecraft Конюшня 21171;1799 RUB;МСК, СПБ;1139 RUB;https://www.detmir.ru/product/index/id/3596764/
3244609;Конструктор LEGO MINDSTORMS EV3 Робот-изобретатель 51515;31999 RUB;МСК, СПБ;19519 RUB;https://www.detmir.ru/product/index/id/3244609/
3244508;Конструктор LEGO Friends Домик для панд на дереве 41422;2599 RUB;МСК, СПБ;1579 RUB;https://www.detmir.ru/product/index/id/3244508/
3142079;Конструктор LEGO City Fire Центральная пожарная станция 60216;8999 RUB;МСК, СПБ;5289 RUB;https://www.detmir.ru/product/index/id/3142079/
3405550;Конструктор LEGO Friends Дом семьи Андреа 41449;6499 RUB;МСК, СПБ;4139 RUB;https://www.detmir.ru/product/index/id/3405550/
3200892;Конструктор LEGO Star Wars Episode IX Сокол Тысячелетия 75257;13499 RUB;МСК, СПБ;8499 RUB;https://www.detmir.ru/product/index/id/3200892/
3405540;Конструктор LEGO Creator Космический робот для горных работ 31115;2199 RUB;МСК, СПБ;1339 RUB;https://www.detmir.ru/product/index/id/3405540/
3244547;Конструктор LEGO Minions Миньоны и дом 75551;4699 RUB;МСК, СПБ;2989 RUB;https://www.detmir.ru/product/index/id/3244547/
3142024;Конструктор LEGO DUPLO Town Пожарное депо 10903;4499 RUB;МСК, СПБ;2869 RUB;https://www.detmir.ru/product/index/id/3142024/
3176053;Конструктор LEGO Harry Potter Автобус Ночной рыцарь 75957;3699 RUB;МСК, СПБ;2249 RUB;https://www.detmir.ru/product/index/id/3176053/
3092801;Конструктор LEGO DUPLO Town Железнодорожный мост (10872);2199 RUB;МСК, СПБ;1339 RUB;https://www.detmir.ru/product/index/id/3092801/
3405626;Конструктор LEGO Ninjago Ниндзя-перехватчик Х-1 71737;4499 RUB;МСК, СПБ;2839 RUB;https://www.detmir.ru/product/index/id/3405626/
3244536;Конструктор LEGO City Городской аэропорт 60261;4499 RUB;МСК, СПБ;2799 RUB;https://www.detmir.ru/product/index/id/3244536/
3244592;Конструктор LEGO Ninjago Подземелье колдуна-скелета 71722;8999 RUB;МСК, СПБ;5489 RUB;https://www.detmir.ru/product/index/id/3244592/
3597020;Конструктор LEGO Ninjago Подводный Дар Судьбы 71756;13499 RUB;МСК, СПБ;8589 RUB;https://www.detmir.ru/product/index/id/3597020/
3156354;Конструктор LEGO Marvel Super Heroes Лаборатория Железного человека 76125;5499 RUB;МСК, СПБ;3339 RUB;https://www.detmir.ru/product/index/id/3156354/
3405603;Конструктор LEGO DC Super Heroes Майлс Моралес Робот 76171;999 RUB;МСК, СПБ;929 RUB;https://www.detmir.ru/product/index/id/3405603/
3244512;Конструктор LEGO Friends Самолёт в Хартлейк Сити 41429;6499 RUB;МСК, СПБ;3949 RUB;https://www.detmir.ru/product/index/id/3244512/
3092804;Конструктор LEGO DUPLO Town Рельсы (10882);1799 RUB;МСК, СПБ;1049 RUB;https://www.detmir.ru/product/index/id/3092804/
3405600;Конструктор LEGO DC Super Heroes Человек-Паук и Призрачный Гонщик против Карнажа 76173;;МСК, СПБ;1799 RUB;https://www.detmir.ru/product/index/id/3405600/
3405553;Конструктор LEGO Friends Передвижной груминг-салон для кошек 41439;799 RUB;МСК, СПБ;529 RUB;https://www.detmir.ru/product/index/id/3405553/
3405622;Конструктор LEGO Ninjago Деревня Хранителей 71747;4499 RUB;МСК, СПБ;2739 RUB;https://www.detmir.ru/product/index/id/3405622/
3405538;Конструктор LEGO Creator Транспортировщик гоночных автомобилей 31113;2199 RUB;МСК, СПБ;1339 RUB;https://www.detmir.ru/product/index/id/3405538/
3122104;Конструктор LEGO Harry Potter Гремучая ива 75953;6499 RUB;МСК, СПБ;3959 RUB;https://www.detmir.ru/product/index/id/3122104/
3405554;Конструктор LEGO Friends Машина скорой ветеринарной помощи 41445;2599 RUB;МСК, СПБ;1609 RUB;https://www.detmir.ru/product/index/id/3405554/
3597034;Конструктор LEGO Harry Potter Визит в деревню Хогсмид 76388;7499 RUB;МСК, СПБ;4729 RUB;https://www.detmir.ru/product/index/id/3597034/
3405651;Конструктор LEGO Technic Экскаватор Liebherr R 9800 42100;37999 RUB;МСК;25899 RUB;https://www.detmir.ru/product/index/id/3405651/
3244603;Конструктор LEGO Star Wars Клоны-пехотинцы 501легиона 75280;2799 RUB;МСК, СПБ;1819 RUB;https://www.detmir.ru/product/index/id/3244603/
3596976;Конструктор LEGO Ninjago Спидер-амфибия ниндзя 71752;3599 RUB;МСК, СПБ;2119 RUB;https://www.detmir.ru/product/index/id/3596976/
3597033;Конструктор LEGO Harry Potter Хогвартс: пушистая встреча 76387;3699 RUB;МСК, СПБ;2329 RUB;https://www.detmir.ru/product/index/id/3597033/
3405594;Конструктор LEGO City Great Vehicles Транспортировка самолёта на авиашоу 60289;2499 RUB;МСК, СПБ;1549 RUB;https://www.detmir.ru/product/index/id/3405594/
3226587;Конструктор LEGO Minecraft Приключения в тайге 21162;899 RUB;МСК, СПБ;649 RUB;https://www.detmir.ru/product/index/id/3226587/
3405638;Конструктор LEGO Minecraft 21169;5499 RUB;МСК, СПБ;3349 RUB;https://www.detmir.ru/product/index/id/3405638/
3188097;Конструктор LEGO Technic Экстремальный внедорожник 42099;19999 RUB;МСК, СПБ;12169 RUB;https://www.detmir.ru/product/index/id/3188097/
3590734;Конструктор LEGO DUPLO Town Экспедиция на шаттле 10944;1499 RUB;МСК, СПБ;949 RUB;https://www.detmir.ru/product/index/id/3590734/
3405527;Конструктор LEGO DUPLO My First Поезд для животных 10955;1599 RUB;МСК, СПБ;1009 RUB;https://www.detmir.ru/product/index/id/3405527/
3489842;Конструктор LEGO Minecraft Приключения на пиратском корабле 21152;4699 RUB;МСК, СПБ;4389 RUB;https://www.detmir.ru/product/index/id/3489842/
3597032;Конструктор LEGO Harry Potter Хогвартс: ошибка с оборотным зельем 76386;1799 RUB;МСК, СПБ;1139 RUB;https://www.detmir.ru/product/index/id/3597032/
3594631;Конструктор LEGO Super Heroes Веном 76187;5999 RUB;МСК, СПБ;5299 RUB;https://www.detmir.ru/product/index/id/3594631/
3226644;Конструктор LEGO Disney Princess Книга приключений Анны и Эльзы 43175;1699 RUB;МСК, СПБ;1059 RUB;https://www.detmir.ru/product/index/id/3226644/
3596757;Конструктор LEGO DUPLO Town Гараж и автомойка 10948;8999 RUB;МСК, СПБ;5469 RUB;https://www.detmir.ru/product/index/id/3596757/
3405548;Конструктор LEGO Friends Органическое кафе Хартлейк-Сити 41444;2599 RUB;МСК, СПБ;1619 RUB;https://www.detmir.ru/product/index/id/3405548/
2503971;Конструктор Attivio Транспортер 80 деталей;;МСК, СПБ;4699 RUB;https://www.detmir.ru/product/index/id/2503971/
3597037;Конструктор LEGO Speed Champions Toyota GR Supra 76901;1799 RUB;МСК, СПБ;1129 RUB;https://www.detmir.ru/product/index/id/3597037/
3596977;Конструктор LEGO Ninjago Атака огненного дракона 71753;4499 RUB;МСК, СПБ;2839 RUB;https://www.detmir.ru/product/index/id/3596977/
3226584;Конструктор LEGO Minecraft Питомник панд 21158;1799 RUB;МСК, СПБ;1099 RUB;https://www.detmir.ru/product/index/id/3226584/
3244532;Конструктор LEGO City Исследовательская подводная лодка 60264;2499 RUB;МСК, СПБ;1519 RUB;https://www.detmir.ru/product/index/id/3244532/
3405588;Конструктор LEGO City Great Vehicles Отпуск в доме на колесах 60283;1499 RUB;МСК, СПБ;969 RUB;https://www.detmir.ru/product/index/id/3405588/
3244608;Конструктор LEGO Star Wars AT-AT 75288;13999 RUB;МСК, СПБ;8519 RUB;https://www.detmir.ru/product/index/id/3244608/
3596975;Конструктор LEGO Ninjago Водный робот Ллойда 71750;1699 RUB;МСК, СПБ;1079 RUB;https://www.detmir.ru/product/index/id/3596975/
3226727;Конструктор LEGO Super Heroes Железный человек 76140;999 RUB;МСК, СПБ;739 RUB;https://www.detmir.ru/product/index/id/3226727/
